pais,valor_milhoes,ano
China,1589.499886,2019
China,3508.475541,2018
China,1387.040317,2017
China,1096.838348,2016
China,829.69594300000006,2015
China,1149.98096,2014
China,999.306427,2013
China,900.878336,2012
China,706.020312,2011
China,427.097677,2010
Estados Unidos,1440.141803,2019
Estados Unidos,1491.866039,2018
Estados Unidos,1550.676302,2017
Estados Unidos,1346.732839,2016
Estados Unidos,1096.870156,2015
Estados Unidos,1202.70038,2014
Estados Unidos,1048.402543,2013
Estados Unidos,1045.101363,2012
Estados Unidos,988.975308,2011
Estados Unidos,905.227739,2010
Japão,561.745487,2019
Japão,536.371415,2018
Japão,646.116312,2017
Japão,494.740514,2016
Japão,506.287327,2015
Japão,632.299712,2014
Japão,595.461424,2013
Japão,654.453665,2012
Japão,815.23904,2011
Japão,527.734577,2010
Reino Unido,260.757521,2019
Reino Unido,257.047712,2018
Reino Unido,331.852429,2017
Reino Unido,331.35967,2016
Reino Unido,315.312368,2015
Reino Unido,406.004525,2014
Reino Unido,382.558813,2013
Reino Unido,362.30085,2012
Reino Unido,405.014274,2011
Reino Unido,329.621068,2010
Alemanha,210.561276,2019
Alemanha,322.25546,2018
Alemanha,268.086116,2017
Alemanha,271.93259,2016
Alemanha,277.889175,2015
Alemanha,350.79263,2014
Alemanha,349.495196,2013
Alemanha,355.002841,2012
Alemanha,430.620268,2011
Alemanha,369.564218,2010
Itália,113.90149,2019
Itália,119.840081,2018
Itália,117.205615,2017
Itália,108.220642,2016
Itália,115.210622,2015
Itália,169.660647,2014
Itália,186.828279,2013
Itália,198.298572,2012
Itália,199.886801,2011
Itália,182.914499,2010
França,77.016015,2019
França,171.013883,2018
França,73.827607,2017
França,53.478935,2016
França,65.067414,2015
França,75.363745,2014
França,74.025083,2013
França,86.579556,2012
França,118.506511,2011
França,151.983409,2010
